amadeus_code,tripadvisor_name,lat,lon,location_cell,total_amount,date
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,273.19,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,296.14,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,273.19,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,296.14,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,284.66,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,261.71,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,255.97,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,278.92,2017-11-16
SINYC537,Four Points by Sheraton Manhattan SoHo Village,40.72721,-74.00604,77.0,267.45,2017-11-16
PHNYCWSH,AKA Wall Street,40.70798,-74.00771,102.0,371.55,2017-11-16
PHNYCWSH,AKA Wall Street,40.70798,-74.00771,102.0,394.51,2017-11-16
PHNYCWSH,AKA Wall Street,40.70798,-74.00771,102.0,403.39,2017-11-16
PHNYCWSH,AKA Wall Street,40.70798,-74.00771,102.0,449.29,2017-11-16
PHNYCWSH,AKA Wall Street,40.70798,-74.00771,102.0,657.83,2017-11-16
GVNYC707,Gansevoort Meatpacking NYC,40.73354,-74.01031,71.0,588.72,2017-11-16
GVNYC707,Gansevoort Meatpacking NYC,40.73354,-74.01031,71.0,640.37,2017-11-16
GVNYC707,Gansevoort Meatpacking NYC,40.73354,-74.01031,71.0,640.37,2017-11-16
GVNYC707,Gansevoort Meatpacking NYC,40.73354,-74.01031,71.0,640.37,2017-11-16
GVNYC707,Gansevoort Meatpacking NYC,40.73354,-74.01031,71.0,914.02,2017-11-16
GVNYC707,Gansevoort Meatpacking NYC,40.73354,-74.01031,71.0,914.02,2017-11-16
