amadeus_name,tripadvisor_name,amadeus_code,tripadvisor_url,amadeus_address,tripadvisor_address,lat,lon
Aloft Long Island City,Aloft Long Island City - Manhattan View,ALNYC940,/Hotel_Review-g48080-d11642010-Reviews-Aloft_Long_Island_City_Manhattan_View-Long_Island_City_Queens_New_York.html,27-45 Jackson Avenue,"2745 Jackson Ave, Long Island City, NY 11101-2917",40.7485,-73.93989
Hampton Inn Carlstadt At The,Hampton Inn Carlstadt-At The Meadowlands,HXEWRGH3,/Hotel_Review-g46344-d98355-Reviews-Hampton_Inn_Carlstadt_At_The_Meadowlands-Carlstadt_New_Jersey.html,304 Paterson Plank Rd,"304 Paterson Plank Rd, Carlstadt, NJ 07072-2309",40.82459,-74.07419
Hotel De Point,Hotel de Point,SCNYC565,/Hotel_Review-g47729-d2725750-Reviews-Hotel_de_Point-Flushing_Queens_New_York.html,20 07 127th Street,"2007 127th St, Flushing, NY 11356-2321",40.76357,-73.83004
Howard Johnson Long Island Cit,Howard Johnson Long Island City,HJLGA294,/Hotel_Review-g48080-d7106532-Reviews-Howard_Johnson_Long_Island_City-Long_Island_City_Queens_New_York.html,38-61 12th Street,"3861 12th St, Long Island City, NY 11101-6115",40.75685,-73.94198
Hilton Garden Inn Lakewood,Hilton Garden Inn Lakewood,GIEWR732,/Hotel_Review-g46550-d1147051-Reviews-Hilton_Garden_Inn_Lakewood-Lakewood_New_Jersey.html,1885 Route 70,"1885 Highway 70, Lakewood, NJ 08701-7394",40.05561,-74.16099
Best Western Premier Nyc Gtwy,Best Western Premier NYC Gateway Hotel,BWEWR068,/Hotel_Review-g46679-d12012479-Reviews-Best_Western_Premier_NYC_Gateway_Hotel-North_Bergen_New_Jersey.html,2650 Paterson Plank Road,"2650 Paterson Plank Road, North Bergen, NJ 7047",40.77352,-74.04004
Marriott At Brooklyn Bridge,New York Marriott at the Brooklyn Bridge,MCLGABKM,/Hotel_Review-g60827-d99466-Reviews-New_York_Marriott_at_the_Brooklyn_Bridge-Brooklyn_New_York.html,333 Adams Street,"333 Adams St, Brooklyn, NY 10036-1520",40.69384,-73.98916
Laguardia Airport Marriott,New York LaGuardia Airport Marriott,MCLGAAPM,/Hotel_Review-g47626-d93649-Reviews-New_York_LaGuardia_Airport_Marriott-East_Elmhurst_Queens_New_York.html,102-05 Ditmars Blvd,"10205 Ditmars Blvd, East Elmhurst, NY 11369-1327",40.76901,-73.86847
The Boro Hotel,Boro Hotel,WVLGA177,/Hotel_Review-g48080-d7792565-Reviews-Boro_Hotel-Long_Island_City_Queens_New_York.html,38-28 27th  Street,"3828 27th St, 39th Avenue & 38th Avenue, Long Island City, NY 11101-2702",40.75507,-73.93541
Hampton Stes Yonkers,Hampton Inn & Suites Yonkers,HXNYC160,/Hotel_Review-g48922-d1438838-Reviews-Hampton_Inn_Suites_Yonkers-Yonkers_New_York.html,160 Corporate Blvd,"160 Corporate Dr, Yonkers, NY 10701-6813",40.97164,-73.8785
Residence Inn Bronx Marriott,Residence Inn By Marriott New York The Bronx at Metro Center Atrium,RCNYCBXR,/Hotel_Review-g47369-d7356250-Reviews-Residence_Inn_By_Marriott_New_York_The_Bronx_at_Metro_Center_Atrium-Bronx_New_York.html,1776 Eastchester Road,"1776 Eastchester Road, Bronx, NY 10461",40.84944,-73.84269
Holiday Inn Jfk Airport Area,Holiday Inn New York JFK Airport Area,HINYCEED,/Hotel_Review-g47962-d4556188-Reviews-Holiday_Inn_New_York_JFK_Airport_Area-Jamaica_Queens_New_York.html,154-71 Brookville Boulevard Rosedal,"154-71 Brookville Boulevard Rosedale, Jamaica, NY 11422",40.7211,-73.81777
Paper Factory Hotel,The Paper Factory Hotel,WVLGA097,/Hotel_Review-g48080-d5523553-Reviews-The_Paper_Factory_Hotel-Long_Island_City_Queens_New_York.html,37 06 36th Street,"3706 36th St, Long Island City, NY 11101-1604",40.76236,-73.92444
Hampton Inn Ste Staten Island,Hampton Inn & Suites Staten Island,HXEWR112,/Hotel_Review-g48682-d674311-Reviews-Hampton_Inn_Suites_Staten_Island-Staten_Island_New_York.html,1120 South Avenue,"1120 South Ave, Staten Island, NY 10314-3410",40.61305,-74.17509
Best Western Viana Hotel & Spa,"Viana Hotel & Spa, BW Premier Collection",BWNYC173,/Hotel_Review-g48864-d1732477-Reviews-Viana_Hotel_Spa_BW_Premier_Collection-Westbury_Long_Island_New_York.html,3998 Brush Hollow Rd,"3998 Brush Hollow Road, Westbury, NY 11590",40.77607,-73.55988
